total_value,neighborhood,area,year,deposit,rent,elavator,parking,warehouse
200090000.0, مرزداران ,70,1393,200000000.0,3000000.0,1,1,1
90090000.0, سازمان برنامه ,85,1385,90000000.0,3000000.0,0,0,1
420000000.0, حکیمیه ,100,1397,420000000.0,0.0,1,1,1
151800000.0, الهیه ,200,1392,150000000.0,60000000.0,1,1,1
501350000.0, فرمانیه ,270,1390,500000000.0,45000000.0,1,1,1
0.0, تهرانپارس غربی ,110,1388,0.0,0.0,1,1,1
300000000.0, جنت‌آباد جنوبی ,73,1382,300000000.0,0.0,1,1,1
0.0, نیاوران ,215,1389,0.0,0.0,1,1,1
500660000.0, دارآباد ,210,1397,500000000.0,22000000.0,1,1,1
200060000.0, مجیدیه ,60,1399,200000000.0,2000000.0,1,1,1
1100000000.0, نیاوران ,140,1388,1100000000.0,0.0,1,1,1
350240000.0, سعادت‌آباد ,100,1393,350000000.0,8000000.0,1,1,1
85045000.0, جیحون ,60,1390,85000000.0,1500000.0,0,0,1
0.0, پاسداران ,210,1399,0.0,0.0,1,1,1
0.0, اختیاریه ,360,1372,0.0,0.0,0,1,1
400150000.0, پونک ,84,1397,400000000.0,5000000.0,1,1,1
40009000.0, پرند ,75,1396,40000000.0,300000.0,1,0,1
100330000.0, جردن ,105,1391,100000000.0,11000000.0,1,1,1
200180000.0, تجریش ,90,1384,200000000.0,6000000.0,0,0,1
350060000.0, جنت‌آباد مرکزی ,87,1389,350000000.0,2000000.0,0,1,1
4000000000.0, اقدسیه ,220,1397,4000000000.0,0.0,1,1,1
0.0, کوی مهران ,140,1385,0.0,0.0,1,1,1
0.0, تهرانپارس غربی ,120,1399,0.0,0.0,1,1,1
702100000.0, دروس ,400,1380,700000000.0,70000000.0,0,1,1
1500900000.0, کامرانیه ,180,1396,1500000000.0,30000000.0,1,1,1
1100000000.0, سیدخندان ,140,1399,1100000000.0,0.0,1,1,1
1550000000.0, میرداماد ,155,1398,1550000000.0,0.0,1,1,1
1000000000.0, سعادت‌آباد ,145,1387,1000000000.0,0.0,0,1,1
820000000.0, سهروردی ,120,1399,820000000.0,0.0,1,1,1
145000000.0, آذری ,63,1390,145000000.0,0.0,0,0,1
600000000.0, حکیمیه ,120,1399,600000000.0,0.0,1,1,1
501350000.0, محمودیه ,120,1398,500000000.0,45000000.0,1,1,1
401500000.0, الهیه ,140,1398,400000000.0,50000000.0,1,1,1
200150000.0, جنت‌آباد مرکزی ,90,1389,200000000.0,5000000.0,1,1,1
0.0, شهرک غرب ,120,1397,0.0,0.0,1,1,1
2000900000.0, زعفرانیه ,350,1385,2000000000.0,30000000.0,1,1,1
150210000.0, ستارخان ,102,1390,150000000.0,7000000.0,1,1,1
120000000.0, اندیشه ,65,1394,120000000.0,0.0,0,1,1
1800000000.0, قیطریه ,180,1399,1800000000.0,0.0,1,1,1
501800000.0, نیاوران ,280,1399,500000000.0,60000000.0,1,1,1
100210000.0, ازگل ,72,1385,100000000.0,7000000.0,1,1,1
0.0, سعادت‌آباد ,160,1383,0.0,0.0,1,1,1
800000000.0, سعادت‌آباد ,150,1399,800000000.0,0.0,1,1,1
500000000.0, زعفرانیه ,55,1399,500000000.0,0.0,1,1,1
0.0, تهرانپارس شرقی ,110,1392,0.0,0.0,1,1,1
180000000.0, شهریار ,90,1399,180000000.0,0.0,1,1,1
3500600000.0, نیاوران ,360,1396,3500000000.0,20000000.0,1,1,1
500450000.0, دروس ,155,1387,500000000.0,15000000.0,1,1,1
